gene_id	saluki_mouse_prior
ENSMUSG00000000001	0.880153953098764
ENSMUSG00000000028	-1.58038174365874
ENSMUSG00000000031	9.31080689521881
ENSMUSG00000000037	5.24347115546592
ENSMUSG00000000056	-1.45841266954531
ENSMUSG00000000058	1.33038811245123
ENSMUSG00000000078	-9.73254530119958
ENSMUSG00000000085	-3.61356716003447
ENSMUSG00000000088	5.58371704759639
ENSMUSG00000000093	-2.65679997255237
ENSMUSG00000000094	-0.430318112552981
ENSMUSG00000000120	4.88212182536984
ENSMUSG00000000125	-2.84736750096742
ENSMUSG00000000126	-2.59062410491175
ENSMUSG00000000127	1.17385177088878
ENSMUSG00000000131	-1.4409237785632
ENSMUSG00000000134	-1.27825775006739
ENSMUSG00000000142	-9.32558025383588
ENSMUSG00000000148	-4.42145501713588
ENSMUSG00000000149	0.082143436003849
ENSMUSG00000000154	3.10444136078879
ENSMUSG00000000167	0.966412319272203
ENSMUSG00000000168	3.52840306434543
ENSMUSG00000000171	4.05204037073332
ENSMUSG00000000184	0.458096468126745
ENSMUSG00000000194	0.641818172482762
ENSMUSG00000000204	-1.5526452462161
ENSMUSG00000000214	4.29680149467433
ENSMUSG00000000215	2.72654940117786
ENSMUSG00000000223	1.74300851324316
ENSMUSG00000000244	1.92640429204678
ENSMUSG00000000247	-0.204494745927132
ENSMUSG00000000253	2.53954834866826
ENSMUSG00000000263	2.12964142603952
ENSMUSG00000000266	-1.18267881371505
ENSMUSG00000000275	-3.7264467618608
ENSMUSG00000000276	-4.22868533195268
ENSMUSG00000000278	5.00052073177654
ENSMUSG00000000282	-4.99739436232468
ENSMUSG00000000290	-2.90310496214632
ENSMUSG00000000295	3.30869150901609
ENSMUSG00000000296	4.96368380851583
ENSMUSG00000000301	5.51124574925758
ENSMUSG00000000303	1.95606335789835
ENSMUSG00000000305	2.10831700759094
ENSMUSG00000000308	1.92366818760856
ENSMUSG00000000317	-3.63517620268678
ENSMUSG00000000318	5.47711224010623
ENSMUSG00000000320	-0.329183658999997
ENSMUSG00000000326	1.03085974163832
ENSMUSG00000000339	1.72300720227355
ENSMUSG00000000340	1.7160426842266
ENSMUSG00000000346	1.43209498120269
ENSMUSG00000000355	3.47412010553847
ENSMUSG00000000359	-2.18190628169094
ENSMUSG00000000374	-0.974955048968823
ENSMUSG00000000378	-2.77297343926486
ENSMUSG00000000381	-0.979901148390754
ENSMUSG00000000384	-1.36776492902782
ENSMUSG00000000385	3.1154133293971
ENSMUSG00000000399	5.9206887906367
ENSMUSG00000000402	0.270923019238096
ENSMUSG00000000409	0.296435866355046
ENSMUSG00000000416	-2.19459246231519
ENSMUSG00000000420	1.61579006606048
ENSMUSG00000000439	-1.05072760337005
ENSMUSG00000000440	-2.48664390610063
ENSMUSG00000000441	-1.72446830166287
ENSMUSG00000000489	-7.03826733298948
ENSMUSG00000000530	5.09077543092871
ENSMUSG00000000531	-1.25389972858557
ENSMUSG00000000532	-4.62177635437071
ENSMUSG00000000538	-0.518421544387098
ENSMUSG00000000544	2.87990894954446
ENSMUSG00000000552	-1.26553681778492
ENSMUSG00000000555	-3.96026224377839
ENSMUSG00000000561	-0.345327766929731
ENSMUSG00000000563	3.94210559193185
ENSMUSG00000000567	-6.86210471513962
ENSMUSG00000000568	2.23927996410615
ENSMUSG00000000581	2.41681839127229
ENSMUSG00000000594	3.69734650557727
ENSMUSG00000000600	-0.799741627786898
ENSMUSG00000000605	1.32124713557199
ENSMUSG00000000617	0.314410067570467
ENSMUSG00000000627	4.74566712119459
ENSMUSG00000000628	-5.18109988703404
ENSMUSG00000000631	1.48304546844983
ENSMUSG00000000632	-0.317965988974559
ENSMUSG00000000673	3.74779590606781
ENSMUSG00000000682	4.21799445667617
ENSMUSG00000000686	-3.98411697368437
ENSMUSG00000000690	1.69377539402654
ENSMUSG00000000693	4.0350801809102
ENSMUSG00000000706	2.57567778351192
ENSMUSG00000000708	2.5980740494299
ENSMUSG00000000711	2.02258031967362
ENSMUSG00000000730	1.77268738802997
ENSMUSG00000000731	4.94352542718315
ENSMUSG00000000732	2.24287818117228
ENSMUSG00000000738	3.85338390891846
ENSMUSG00000000739	4.45839932393334
ENSMUSG00000000740	5.34712159723838
ENSMUSG00000000743	2.29781705047238
ENSMUSG00000000751	3.88701323112934
ENSMUSG00000000753	6.41920097397631
ENSMUSG00000000759	-0.687450763232182
ENSMUSG00000000766	5.7391015436991
ENSMUSG00000000776	-5.1626481732
ENSMUSG00000000782	0.848058663594134
ENSMUSG00000000787	-1.00611349375817
ENSMUSG00000000791	-2.16990888378522
ENSMUSG00000000792	0.582956427898849
ENSMUSG00000000794	-1.17648340810378
ENSMUSG00000000804	-3.38209855694687
ENSMUSG00000000805	13.4860346194184
ENSMUSG00000000811	-0.837073701480369
ENSMUSG00000000817	-3.53002810449432
ENSMUSG00000000823	-2.55751302447246
ENSMUSG00000000826	-0.746609626424979
