gene_id	mean	pc1	bias_aware	gene_uncertainty
ENSG00000000003	1.0421236440492523	7.665642937080882	1.0421236440492523	1.086116210423713
ENSG00000000005	0.12355718406505697	0.6892257750749121	0.12355718406505697	0.19372967691363607
ENSG00000000419	0.1910651480981394	2.336173595559294	0.1910651480981394	0.6816464279332854
ENSG00000000457	-0.7793391141991612	-6.579156912732456	-0.7793391141991612	0.7964792342325748
ENSG00000000460	0.05671730731334273	0.6472024053865747	0.05671730731334273	0.6964318794218228
ENSG00000000971	0.7825713919888947	6.269789131608166	0.7825713919888947	0.9783617015326296
ENSG00000001036	0.992766596088783	8.24304572837738	0.992766596088783	1.066134425246532
ENSG00000001084	-0.4137182026077858	-3.352740696089652	-0.4137182026077858	0.5240216798825679
ENSG00000001167	-0.7545983278935319	-6.188911239953184	-0.7545983278935319	0.7395250305848644
ENSG00000001460	-0.39878506717271855	-3.3436778656200774	-0.39878506717271855	0.5286544435673913
ENSG00000001461	0.032231167465125506	0.22679103632337783	0.032231167465125506	0.3966691465980494
ENSG00000001497	1.0184073102777276	7.98339239890073	1.0184073102777276	0.9520855833651407
ENSG00000001561	-0.151839404939491	-1.3142433508030584	-0.151839404939491	0.3992361283596323
ENSG00000001617	-0.13520973558696295	0.29636897103092363	-0.13520973558696295	0.5685878713269679
ENSG00000001629	-0.20016220130847376	-0.9314781422419773	-0.20016220130847376	0.37827783583149466
ENSG00000001630	0.12019081550113274	2.386425988940717	0.12019081550113274	0.6634048073447404
ENSG00000001631	-0.08498914411034433	-0.2926856554494673	-0.08498914411034433	0.9642019910957398
ENSG00000002016	-0.5113328858402598	-5.049395502840708	-0.5113328858402598	0.758219747430202
ENSG00000002330	0.5690823731797442	4.5557450053072825	0.5690823731797442	0.7555443195345156
ENSG00000002549	0.8044034128821689	6.9527684043840186	0.8044034128821689	0.9891871913030258
ENSG00000002586	1.1857009540734469	9.805228501413835	1.1857009540734469	1.3135838647288953
ENSG00000002587	-1.088259050886629	-11.55020217663088	-1.088259050886629	1.615705965837467
ENSG00000002746	-0.5102767914762596	-2.885990420248278	-0.5102767914762596	0.7537812930437433
ENSG00000002822	-0.34177715107599266	-2.3201486263673217	-0.34177715107599266	0.49244002967065986
ENSG00000002834	0.21505078996486227	2.9693152263601252	0.21505078996486227	0.6283507984229393
ENSG00000002919	-0.31768246180411674	-2.7593097491998133	-0.31768246180411674	0.526210855962782
ENSG00000003056	0.4467137278409969	3.6545085731593865	0.4467137278409969	0.75278941827277
ENSG00000003096	0.03478230035862325	1.3772237454188614	0.03478230035862325	0.5291946804809646
ENSG00000003137	-0.4209057156840902	-4.474824710930687	-0.4209057156840902	0.6568775734261998
ENSG00000003147	0.3357655473756342	3.6303955434990147	0.3357655473756342	0.8090322715136183
ENSG00000003249	0.20738102986334092	2.107596256618258	0.20738102986334092	0.4974948565127252
ENSG00000003393	-0.2652401274919906	-2.467033572943474	-0.2652401274919906	0.3826537902427736
ENSG00000003400	-0.17475769401058863	-1.298987027919706	-0.17475769401058863	0.3409243589237859
ENSG00000003402	-0.1649645515743868	-1.2936442850629841	-0.1649645515743868	0.4789033068254243
ENSG00000003436	0.39644236020939877	4.020867023145233	0.39644236020939877	0.8420077005936222
ENSG00000003509	0.016890037363722545	-0.026651098783238163	0.016890037363722545	0.851588894560345
ENSG00000003756	-0.5171566956462372	-6.22933297392532	-0.5171566956462372	0.9090100524151705
ENSG00000003987	0.31251647791560827	1.9132419666700986	0.31251647791560827	0.4944667672195801
ENSG00000003989	-0.013030120824160388	0.13331793093746913	-0.013030120824160388	0.41312117571346907
ENSG00000004059	1.383649051148368	10.052570849494376	1.383649051148368	1.162962013319504
ENSG00000004139	-0.04733298294127226	-1.005250909990483	-0.04733298294127226	0.6741087969125273
ENSG00000004142	0.6434718265296581	5.941445243263769	0.6434718265296581	0.8787052630879991
ENSG00000004399	0.5928075011479297	3.9181304727127557	0.5928075011479297	1.0210104036758754
