gene_id	saluki_human_pc1
ENSG00000000003	8.66095460281751
ENSG00000000419	2.24122111263875
ENSG00000000457	-6.92917289890567
ENSG00000000460	0.440908608565664
ENSG00000000938	-0.94368014484995
ENSG00000000971	7.72042674851192
ENSG00000001036	8.30981072599099
ENSG00000001084	-3.79295516265469
ENSG00000001167	-6.4981408274704
ENSG00000001460	-3.57621150680388
ENSG00000001461	0.290577323686184
ENSG00000001497	7.62737793851154
ENSG00000001561	-0.286285629631509
ENSG00000001617	-0.010621487487757
ENSG00000001629	-1.01750306857375
ENSG00000001630	2.2753531286541
ENSG00000001631	-0.885704849512103
ENSG00000002016	-4.63777819959463
ENSG00000002330	4.49180650408091
ENSG00000002549	6.73573407224717
ENSG00000002586	9.99104304264904
ENSG00000002745	-4.57509219685031
ENSG00000002746	-4.20168530720227
ENSG00000002822	-2.55579921547435
ENSG00000002834	2.75299292937987
ENSG00000002919	-2.69469523994065
ENSG00000003056	3.33250981810299
ENSG00000003096	1.20669999134929
ENSG00000003137	-3.16269028081692
ENSG00000003147	2.53851903752277
ENSG00000003249	2.27081641461756
ENSG00000003393	-2.44624684216545
ENSG00000003400	-1.45292205892627
ENSG00000003402	-1.35042008587338
ENSG00000003436	4.11902420968433
ENSG00000003509	-0.0553982663916717
ENSG00000003756	-5.96029593233879
ENSG00000003987	0.317053510855052
ENSG00000003989	-0.105250892514826
ENSG00000004059	9.2102930868234
ENSG00000004139	1.28570046411493
ENSG00000004142	5.43083272937609
ENSG00000004399	4.83700582102289
ENSG00000004455	6.46224333472263
ENSG00000004468	7.57067963502686
ENSG00000004478	5.55929602632673
ENSG00000004487	2.95307661007945
ENSG00000004534	2.08122537805362
ENSG00000004660	-3.7337422084136
ENSG00000004700	4.02625485757774
ENSG00000004766	-0.477045105899645
ENSG00000004777	4.73866265411431
ENSG00000004779	6.80716829596947
ENSG00000004799	-8.32530021846802
ENSG00000004838	2.03998401568773
ENSG00000004848	-0.59794066685095
ENSG00000004864	2.90342312740418
ENSG00000004866	-0.181877523772557
ENSG00000004897	-1.45445076540177
ENSG00000004961	-0.882917324434317
ENSG00000004975	1.60244378922105
ENSG00000005001	-1.96018621479427
ENSG00000005007	0.169319981340859
ENSG00000005020	6.09354966779937
ENSG00000005022	7.50214231005304
ENSG00000005059	5.70109052423197
ENSG00000005073	-10.4061485565175
ENSG00000005075	8.5382148056568
ENSG00000005100	-1.67694337774853
ENSG00000005156	1.60470191862929
ENSG00000005175	1.58031090388531
ENSG00000005187	5.12537194313682
ENSG00000005189	3.40187612515401
